App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Primary Genres,Secondary Genres
Galactic Core Free Wallpaper,PERSONALIZATION,4.1,69417,853000.0,10000000,Free,0.0,1,Personalization,1-May-14,2.41,2.1 and up,Personalization,
LINE Launcher,PERSONALIZATION,4.4,733838,21000000.0,10000000,Free,0.0,1,Personalization,29-Jun-18,2.4.25,4.0.3 and up,Personalization,
Asteroids 3D live wallpaper,PERSONALIZATION,4.1,157495,6400000.0,10000000,Free,0.0,1,Personalization,24-Jul-18,4.0.0.7,4.4 and up,Personalization,
Sun Rise Free Live Wallpaper,PERSONALIZATION,4.3,86481,8600000.0,10000000,Free,0.0,1,Personalization,31-Jan-18,4.8.3,4.0 and up,Personalization,
Wallpapers HD,PERSONALIZATION,4.6,484981,2100000.0,10000000,Free,0.0,1,Personalization,28-Nov-16,1.7.1,3.0 and up,Personalization,
Tiger Live Wallpaper,PERSONALIZATION,4.1,77724,7100000.0,5000000,Free,0.0,2,Personalization,31-May-18,2.7.2,4.0 and up,Personalization,
Pink Roses Live Wallpaper,PERSONALIZATION,4.2,33074,3300000.0,1000000,Free,0.0,1,Personalization,4-May-18,4.1,4.1 and up,Personalization,
Butterfly Live Wallpaper,PERSONALIZATION,4.1,35771,3500000.0,5000000,Free,0.0,1,Personalization,4-May-18,4.1,4.1 and up,Personalization,
Koi Free Live Wallpaper,PERSONALIZATION,4.2,290241,4100000.0,50000000,Free,0.0,1,Personalization,24-Jun-14,1.9,2.1 and up,Personalization,
Wallpaper,PERSONALIZATION,4.5,69488,9700000.0,1000000,Free,0.0,1,Personalization,8-Jul-18,6.07,4.1 and up,Personalization,
Wolves Live Wallpaper,PERSONALIZATION,4.3,10401,3300000.0,1000000,Free,0.0,1,Personalization,27-Oct-17,7.5,4.1 and up,Personalization,
Horses Live Wallpaper,PERSONALIZATION,4.2,28806,7100000.0,1000000,Free,0.0,1,Personalization,22-May-18,18,4.1 and up,Personalization,
Tropical Beach Live Wallpaper,PERSONALIZATION,4.0,11343,8400000.0,1000000,Free,0.0,1,Personalization,22-May-18,18,4.1 and up,Personalization,
Glowing Flowers Live Wallpaper,PERSONALIZATION,4.2,66730,7000000.0,5000000,Free,0.0,1,Personalization,21-May-18,18,4.1 and up,Personalization,
Dolphins Live Wallpaper,PERSONALIZATION,4.2,25807,5500000.0,1000000,Free,0.0,1,Personalization,29-Oct-17,15,4.1 and up,Personalization,
Buzz Launcher-Smart&Free Theme,PERSONALIZATION,4.4,251616,13000000.0,10000000,Free,0.0,1,Personalization,13-Nov-17,1.9.7.07,4.0.3 and up,Personalization,
BIG Launcher,PERSONALIZATION,4.3,881,5900000.0,10000,Paid,9.99,1,Personalization,20-Jun-18,2.5.9,2.1 and up,Personalization,
"iKeyboard - emoji, emoticons",PERSONALIZATION,4.5,624924,24000000.0,10000000,Free,0.0,1,Personalization,1-Aug-18,4.8.2.2195,4.1 and up,Personalization,
Simple Neon Blue Future Tech Keyboard Theme,PERSONALIZATION,4.1,51145,6200000.0,10000000,Free,0.0,1,Personalization,28-Jun-18,1,4.0.3 and up,Personalization,
TouchPal Purple Butterfly Theme,PERSONALIZATION,4.2,7435,6900000.0,1000000,Free,0.0,1,Personalization,28-Jun-18,1,4.0.3 and up,Personalization,
Lavender Emoji Keyboard Theme,PERSONALIZATION,4.1,12008,6100000.0,1000000,Free,0.0,1,Personalization,27-May-16,5,4.0 and up,Personalization,
"AVG Cleaner – Speed, Battery & Memory Booster",PRODUCTIVITY,4.4,1188154,24000000.0,10000000,Free,0.0,1,Productivity,14-Jun-18,4.6.4,4.1 and up,Productivity,
QR Scanner & Barcode Scanner 2018,PRODUCTIVITY,3.8,8226,4100000.0,10000000,Free,0.0,1,Productivity,20-Jul-18,1.8.4,4.4 and up,Productivity,
Microsoft Outlook,PRODUCTIVITY,4.3,3252896,50000000.0,100000000,Free,0.0,1,Productivity,2-Aug-18,2.2.194,4.4 and up,Productivity,
My Claro Peru,PRODUCTIVITY,3.2,11200,11000000.0,5000000,Free,0.0,1,Productivity,23-Jul-18,3.1.1,4.4 and up,Productivity,
Power Booster - Junk Cleaner & CPU Cooler & Boost,PRODUCTIVITY,4.5,9653,5100000.0,1000000,Free,0.0,1,Productivity,6-Aug-18,1.2.5,4.1 and up,Productivity,
Google Assistant,PRODUCTIVITY,4.2,58675,1300000.0,10000000,Free,0.0,1,Productivity,9-Mar-18,0.1.187945513,5.0 and up,Productivity,
Archos File Manager,PRODUCTIVITY,4.0,2131,2300000.0,5000000,Free,0.0,1,Productivity,22-Apr-16,4.1.4,4.1 and up,Productivity,
ES File Explorer File Manager,PRODUCTIVITY,4.6,5383985,16000000.0,100000000,Free,0.0,1,Productivity,3-Aug-18,4.1.8.2.2,4.0 and up,Productivity,
MyMTN,PRODUCTIVITY,4.0,8550,15000000.0,1000000,Free,0.0,1,Productivity,25-Jul-18,2.1.5,4.0 and up,Productivity,
Dropbox,PRODUCTIVITY,4.4,1861310,61000000.0,500000000,Free,0.0,1,Productivity,1-Aug-18,Varies with device,Varies with device,Productivity,
ASUS Quick Memo,PRODUCTIVITY,4.5,23089,1600000.0,10000000,Free,0.0,1,Productivity,11-Apr-18,1.10.0.33_180403,5.0 - 8.0,Productivity,
lifebox,PRODUCTIVITY,4.2,56403,49000000.0,5000000,Free,0.0,1,Productivity,27-Jul-18,4.0.5,4.4 and up,Productivity,
Content Transfer,PRODUCTIVITY,4.7,19302,7200000.0,5000000,Free,0.0,1,Productivity,28-Jun-18,3.5.12,4.0.3 and up,Productivity,
Advanced Task Killer,PRODUCTIVITY,4.4,577059,1500000.0,50000000,Free,0.0,1,Productivity,7-Aug-16,2.2.1B216,2.3.3 and up,Productivity,
Microsoft Translator,PRODUCTIVITY,4.6,209696,49000000.0,5000000,Free,0.0,1,Productivity,18-Jun-18,3.2.258b ae1da5165,4.3 and up,Productivity,
"My Airtel-Online Recharge, Pay Bill, Wallet, UPI",PRODUCTIVITY,4.3,1498393,14000000.0,50000000,Free,0.0,1,Productivity,2-Aug-18,4.3.2.0,4.2 and up,Productivity,
Hacker's Keyboard,PRODUCTIVITY,4.4,41418,1200000.0,1000000,Free,0.0,1,Productivity,11-Dec-16,v1.39.3,2.2 and up,Productivity,
Security & Privacy,PRODUCTIVITY,4.0,212,10000000.0,1000000,Free,0.0,1,Productivity,26-Apr-18,5.0.44,4.1 and up,Productivity,
7 Weeks - Habit & Goal Tracker,PRODUCTIVITY,4.4,6011,4300000.0,500000,Free,0.0,1,Productivity,19-Dec-15,3.2.1,4.1 and up,Productivity,
Loop - Habit Tracker,PRODUCTIVITY,4.7,17955,3800000.0,1000000,Free,0.0,1,Productivity,23-May-18,1.7.9,4.0.3 and up,Productivity,
Keeper: Free Password Manager & Secure Vault,PRODUCTIVITY,4.2,74146,32000000.0,10000000,Free,0.0,1,Productivity,16-Jul-18,12.1.0,4.4 and up,Productivity,
Pushbullet - SMS on PC,PRODUCTIVITY,4.5,176873,4500000.0,1000000,Free,0.0,1,Productivity,30-Oct-17,17.7.20,4.1 and up,Productivity,
Planner Pro-Personal Organizer,PRODUCTIVITY,4.0,10270,8400000.0,1000000,Free,0.0,1,Productivity,23-Mar-18,4.4.1,4.0 and up,Productivity,
Todoist: To-do lists for task management & errands,PRODUCTIVITY,4.5,155999,12000000.0,10000000,Free,0.0,1,Productivity,5-Aug-18,12.8.2,4.4 and up,Productivity,
Cozi Family Organizer,PRODUCTIVITY,4.4,56713,25000000.0,1000000,Free,0.0,1,Productivity,5-Jul-18,9.3.5776,4.1 and up,Productivity,
Trello,PRODUCTIVITY,4.5,72513,12000000.0,5000000,Free,0.0,1,Productivity,18-Jul-18,5.0.1.11068-production,5.0 and up,Productivity,
Easy Voice Recorder,PRODUCTIVITY,4.4,205191,7100000.0,10000000,Free,0.0,1,Productivity,20-Jun-18,2.4.5,4.1 and up,Productivity,
Solid Explorer Classic,PRODUCTIVITY,4.5,49794,6500000.0,1000000,Free,0.0,1,Productivity,17-Jun-17,1.7.3,2.3 and up,Productivity,
File Browser by Astro (File Manager),PRODUCTIVITY,4.3,609182,9200000.0,50000000,Free,0.0,1,Productivity,2-Jul-18,6.4.0,4.0 and up,Productivity,
File Explorer,PRODUCTIVITY,4.1,979,720000.0,100000,Free,0.0,1,Productivity,30-Sep-13,2.1.3,2.2 and up,Productivity,
The Maner,PRODUCTIVITY,4.2,53015,2200000.0,5000000,Free,0.0,1,Productivity,12-Nov-17,2.2.2,2.3 and up,Productivity,
Smart File Manager,PRODUCTIVITY,4.2,17415,4100000.0,1000000,Free,0.0,1,Productivity,5-Jul-18,3.5.9,4.0 and up,Productivity,
"Polaris Office - Word, Docs, Sheets, Slide, PDF",PRODUCTIVITY,4.3,549900,60000000.0,10000000,Free,0.0,1,Productivity,18-Jul-18,7.3.30,4.1 and up,Productivity,
"WPS Office - Word, Docs, PDF, Note, Slide & Sheet",PRODUCTIVITY,4.5,1508137,37000000.0,100000000,Free,0.0,1,Productivity,30-Jul-18,11.1.3,4.0 and up,Productivity,
Simple Notepad,PRODUCTIVITY,4.3,12321,713000.0,1000000,Free,0.0,1,Productivity,25-Dec-16,2.0.1,2.3 and up,Productivity,
Keep My Notes - Notepad & Memo,PRODUCTIVITY,4.6,122424,4700000.0,5000000,Free,0.0,1,Productivity,16-Mar-18,1.35.2,2.3.3 and up,Productivity,
Sticky Note + : Sync Notes,PRODUCTIVITY,4.2,21507,6600000.0,1000000,Free,0.0,1,Productivity,31-Aug-17,13.4,4.0 and up,Productivity,
Notepad,PRODUCTIVITY,4.2,80581,2500000.0,10000000,Free,0.0,1,Productivity,16-Oct-16,2.4,2.3 and up,Productivity,
Squid - Take Notes & Markup PDFs,PRODUCTIVITY,4.2,37204,19000000.0,1000000,Free,0.0,1,Productivity,21-Jul-18,3.4.4.4-GP,4.0 and up,Productivity,
Notepad & To do list,PRODUCTIVITY,4.3,226295,4200000.0,10000000,Free,0.0,1,Productivity,6-Jun-18,4.3.19,2.3.3 and up,Productivity,
"JotterPad - Writer, Screenplay, Novel",PRODUCTIVITY,4.6,57904,11000000.0,1000000,Free,0.0,1,Productivity,1-Jul-18,12.8.2-pi,4.2 and up,Productivity,
Calendar+ Schedule Planner App,PRODUCTIVITY,4.0,8985,5700000.0,1000000,Free,0.0,1,Productivity,16-Jan-17,1.07.59,4.0.3 and up,Productivity,
Today Calendar 2017,PRODUCTIVITY,4.2,16349,9000000.0,1000000,Free,0.0,1,Productivity,25-Apr-16,4.0.7.3,4.1 and up,Productivity,
New Calendar,PRODUCTIVITY,4.5,25985,6900000.0,1000000,Free,0.0,1,Productivity,20-Jul-18,1.0.167,4.0.3 and up,Productivity,
Calendar Widget Month + Agenda,PRODUCTIVITY,4.2,60840,1900000.0,5000000,Free,0.0,1,Productivity,31-May-18,1.26.2,4.0.3 and up,Productivity,
Business Calendar 2,PRODUCTIVITY,4.6,102594,15000000.0,5000000,Free,0.0,1,Productivity,23-Jul-18,2.30.1,4.1 and up,Productivity,
Unclouded - Cloud Manager,PRODUCTIVITY,4.1,6850,11000000.0,100000,Free,0.0,1,Productivity,8-Aug-16,2.3.3-play,4.1 and up,Productivity,
Amazon Drive,PRODUCTIVITY,4.4,18669,4100000.0,1000000,Free,0.0,1,Productivity,8-Jan-18,1.9.1.147.0-google,4.2 and up,Productivity,
SugarSync,PRODUCTIVITY,4.1,16420,3800000.0,1000000,Free,0.0,1,Productivity,16-May-18,4.4.0.4,2.3.3 and up,Productivity,
MediaFire,PRODUCTIVITY,4.1,71432,3800000.0,5000000,Free,0.0,1,Productivity,1-Nov-17,4.2.2,4.1 and up,Productivity,
Baby Names,PARENTING,4.5,86,2800000.0,10000,Free,0.0,1,Parenting,3-Aug-18,1.7,4.0.3 and up,Parenting,
Zoo For Preschool Kids 3-9 Years,PARENTING,0.0,76,8200000.0,10000,Free,0.0,1,Parenting;Education,24-Apr-18,1.0.7,4.0 and up,Parenting,Education
My baby Game (Balloon POP!),PARENTING,3.8,3614,3300000.0,1000000,Free,0.0,1,Parenting;Brain Games,28-May-18,2.15.2714,4.0 and up,Parenting,Brain Games
Arabic Alphabets,PARENTING,0.0,34,6200000.0,10000,Free,0.0,1,Parenting,9-Jan-17,1,2.2 and up,Parenting,
Learn the letters and words,PARENTING,0.0,31,85000000.0,10000,Free,0.0,1,Parenting;Education,15-Jun-18,3.2,4.0.3 and up,Parenting,Education
Development of the child up to a year,PARENTING,4.6,1413,14000000.0,100000,Free,0.0,4,Parenting,20-Jul-18,2.9.9,4.1 and up,Parenting,
Favorite children's songs,PARENTING,4.7,39,95000000.0,10000,Free,0.0,1,Parenting,6-Jul-18,1.2.5,4.2 and up,Parenting,
Ali Baba's Farm Tutorial Kids Games,PARENTING,0.0,36,5500000.0,5000,Free,0.0,1,Parenting,27-May-18,4.7,4.1 and up,Parenting,
Baby Panda Learns Shapes,PARENTING,4.0,3789,42000000.0,1000000,Free,0.0,1,Parenting;Education,21-Jun-18,8.25.10.00,4.0.3 and up,Parenting,Education
Learning English for children,PARENTING,0.0,67,15000000.0,50000,Free,0.0,1,Parenting;Education,18-Apr-18,1.9,2.3 and up,Parenting,Education
Mozart Baby Sleep,PARENTING,4.7,107,98000000.0,50000,Free,0.0,2,Parenting,9-Jul-18,1.4.0,4.2 and up,Parenting,
Kids Videos,PARENTING,4.1,559,6400000.0,100000,Free,0.0,1,Parenting,20-May-18,1.3.1,4.1 and up,Parenting,
My baby firework,PARENTING,3.7,4976,2800000.0,1000000,Free,0.0,1,Parenting;Education,28-May-18,2.04.2714,4.0 and up,Parenting,Education
We learn children's verses in kindergarten,PARENTING,0.0,3248,6500000.0,100000,Free,0.0,1,Parenting;Education,20-Dec-17,2.1,4.0 and up,Parenting,Education
Baby Food - Homemade Recipes,PARENTING,4.1,44,3600000.0,10000,Free,0.0,1,Parenting,7-Aug-18,8.2,4.0.3 and up,Parenting,
My baby Phone,PARENTING,3.7,9293,2400000.0,1000000,Free,0.0,1,Parenting,28-May-18,2.03.2714,4.0 and up,Parenting,
Baby Sleep: White noise lullabies for newborns,PARENTING,4.6,62386,3400000.0,1000000,Free,0.0,1,Parenting,12-Jun-18,2.7,4.0 and up,Parenting,
Arabic Chat - Chat,PARENTING,4.4,162,1500000.0,10000,Free,0.0,1,Parenting,1-May-18,1,4.1 and up,Parenting,
BookBaby - Baby Development,PARENTING,4.6,1002,5000000.0,50000,Free,0.0,1,Parenting,18-Aug-16,3,4.0.3 and up,Parenting,
Kids Craft Ideas,PARENTING,4.1,99,6600000.0,10000,Free,0.0,1,Parenting,29-Mar-18,1.1,4.1 and up,Parenting,
Educational Children's Songs,PARENTING,0.0,163,59000000.0,100000,Free,0.0,1,Parenting,5-Aug-18,1.2,4.0.3 and up,Parenting,
How do I take care of my child?,PARENTING,4.8,190,6800000.0,100000,Free,0.0,1,Parenting,24-Jun-18,1.5,4.0 and up,Parenting,
Baby Name Together,PARENTING,4.0,464,24000000.0,100000,Free,0.0,1,Parenting,6-Aug-18,2.3.1,5.0 and up,Parenting,
White Noise for Baby,PARENTING,4.9,717,6600000.0,100000,Free,0.0,1,Parenting,30-Dec-17,1.6.0,4.1 and up,Parenting,
Favorite Soviet cartoons,PARENTING,0.0,63,4900000.0,10000,Free,0.0,1,Parenting,24-May-18,1.0.6,4.0 and up,Parenting,
The first year of a baby's life,PARENTING,4.8,7505,9100000.0,100000,Free,0.0,1,Parenting,7-Jan-17,1.1.27.477-free,2.3 and up,Parenting,
Safe365 – Cell Phone GPS Locator For Your Family,PARENTING,4.4,11501,11000000.0,1000000,Free,0.0,1,Parenting,30-Jul-18,3.7.1,4.0.3 and up,Parenting,
Listen to the story~The Story of the Fairy Tales,PARENTING,4.7,69,5800000.0,5000,Free,0.0,1,Parenting,10-Jul-18,1.0.6,4.0.3 and up,Parenting,
"Amazon FreeTime – Kids’ Videos, Books, & TV shows",PARENTING,4.2,2715,24000000.0,500000,Free,0.0,1,Parenting;Music & Video,24-Jul-18,FreeTimeApp-aosp_v3.14_Build-1.0.204367.0.13014,5.0 and up,Parenting,Music & Video
"Kids Fang - Infant Videos, Children's Songs, Fairy Tales, Lullaby Collections",PARENTING,4.6,349,4400000.0,100000,Free,0.0,1,Parenting,21-Mar-18,1.7,4.4 and up,Parenting,
PPS Online,PARENTING,4.6,37,16000000.0,10000,Free,0.0,1,Parenting,9-Jul-18,3.19,4.0.3 and up,Parenting,
Johny Johny Yes Papa Nursery Rhyme - offline Video,PARENTING,4.5,806,11000000.0,500000,Free,0.0,1,Parenting,4-Aug-18,4.2,4.0.3 and up,Parenting,
Latest Emmanuella Comedy Video,PARENTING,4.6,60,4900000.0,10000,Free,0.0,1,Parenting,1-Apr-18,Natalia Studio Development,4.0.3 and up,Parenting,
Baby Care & Tracker,PARENTING,4.1,319,11000000.0,100000,Free,0.0,1,Parenting,12-Jul-18,5.3,4.0.3 and up,Parenting,
Urban Limo Taxi Simulator,PARENTING,3.8,824,53000000.0,1000000,Free,0.0,1,Parenting,2-Aug-18,8.9,4.0.3 and up,Parenting,
Rainbow - Journal & Activities,PARENTING,4.8,6668,20000000.0,100000,Free,0.0,1,Parenting,28-Mar-18,2.5.9,4.1 and up,Parenting,
Classical music for baby,PARENTING,4.8,1940,38000000.0,100000,Free,0.0,1,Parenting;Music & Video,18-Jul-18,1.04,4.2 and up,Parenting,Music & Video
How do I care about my child?,PARENTING,0.0,34,4900000.0,10000,Free,0.0,1,Parenting,3-Jul-18,1.2,4.0 and up,Parenting,
My Child from eDziecko.pl,PARENTING,4.5,1025,17000000.0,100000,Free,0.0,1,Parenting,29-Jun-18,1.3.9,4.1 and up,Parenting,
Baby Panda Musical Genius,PARENTING,4.0,3346,37000000.0,1000000,Free,0.0,1,Parenting;Music & Video,15-Jun-18,8.25.10.00,4.0.3 and up,Parenting,Music & Video
Baby Monitor,PARENTING,4.4,5343,5200000.0,1000000,Free,0.0,1,Parenting,30-Mar-18,2.1.1,4.1 and up,Parenting,
Daniel Tiger for Parents,PARENTING,4.7,247,28000000.0,100000,Free,0.0,1,Parenting;Music & Video,19-Mar-18,1.3.0,4.4 and up,Parenting,Music & Video
Voice Tables - no internet,PARENTING,0.0,970,71000000.0,100000,Free,0.0,1,Parenting,28-May-18,2,4.0.3 and up,Parenting,
Vegetable Fun,PARENTING,3.9,3182,46000000.0,1000000,Free,0.0,1,Parenting;Education,15-Jun-18,8.25.10.00,4.0.3 and up,Parenting,Education
It's open.,PARENTING,4.4,1528,16000000.0,100000,Free,0.0,1,Parenting,24-Jul-18,8.1.2,4.4 and up,Parenting,
Children's Stories 2018 - The Lion Come Lion,PARENTING,4.4,39,18000000.0,10000,Free,0.0,1,Parenting;Music & Video,31-Oct-17,1.2,4.0 and up,Parenting,Music & Video
Feed Baby - Baby Tracker,PARENTING,4.5,76795,18000000.0,1000000,Free,0.0,1,Parenting,1-Aug-18,2.0.6,4.1 and up,Parenting,
Weather forecast,WEATHER,4.8,159455,10000000.0,1000000,Free,0.0,1,Weather,8-May-18,1.11.93,4.4 and up,Weather,
Live Weather Pro,WEATHER,4.8,892,17000000.0,10000,Free,0.0,1,Weather,17-Jul-18,1.1,4.4 and up,Weather,
weather - weather forecast,WEATHER,4.7,11118,9700000.0,1000000,Free,0.0,1,Weather,26-Apr-18,30,4.0 and up,Weather,
Free live weather on screen,WEATHER,4.4,15370,21000000.0,1000000,Free,0.0,1,Weather,2-Aug-18,12.2.6.3660,4.1 and up,Weather,
Weather Radar Widget,WEATHER,4.3,18194,3200000.0,1000000,Free,0.0,1,Weather,28-Jun-17,1.7.7,3.0 and up,Weather,
Weather –Simple weather forecast,WEATHER,4.4,40606,15000000.0,10000000,Free,0.0,1,Weather,5-Aug-18,v7.0.02.3.0516.1_06_0713,5.0 and up,Weather,
Weather Crave,WEATHER,4.2,133338,44000000.0,5000000,Free,0.0,1,Weather,26-Jun-18,6.1.3,4.1 and up,Weather,
Klara weather,WEATHER,4.6,36900,4800000.0,500000,Free,0.0,1,Weather,28-Jul-18,1.3.6,4.0 and up,Weather,
Real time Weather Forecast,WEATHER,4.4,4184,10000000.0,1000000,Free,0.0,1,Weather,26-Mar-18,7.1.12.12,5.0 and up,Weather,
METEO FRANCE,WEATHER,3.9,100994,54000000.0,5000000,Free,0.0,1,Weather,13-Jul-18,5.9.7,4.1 and up,Weather,
APE Weather ( Live Forecast),WEATHER,4.3,20008,9100000.0,5000000,Free,0.0,1,Weather,3-Jul-18,7.1.34.28,5.0 and up,Weather,
Live Weather & Daily Local Weather Forecast,WEATHER,4.5,13426,19000000.0,1000000,Free,0.0,1,Weather,17-Jul-18,9.9.1.1910,4.1 and up,Weather,
Weather,WEATHER,4.2,18773,12000000.0,10000000,Free,0.0,1,Weather,24-May-18,1.3.A.2.9,4.4 and up,Weather,
Klart.se - Sweden's best weather,WEATHER,3.6,7623,19000000.0,1000000,Free,0.0,1,Weather,11-Jul-18,3.18.5,4.4 and up,Weather,
Info BMKG,WEATHER,4.3,21404,7600000.0,1000000,Free,0.0,1,Weather,15-Jun-17,2.2,4.4 and up,Weather,
wetter.com - Weather and Radar,WEATHER,4.2,189313,38000000.0,10000000,Free,0.0,1,Weather,6-Aug-18,Varies with device,Varies with device,Weather,
Local Weather Forecast & Visual Widget,WEATHER,4.5,3478,6100000.0,500000,Free,0.0,1,Weather,2-Aug-18,2.9.10,4.2 and up,Weather,
Wetter by t-online.de,WEATHER,4.2,24349,9200000.0,1000000,Free,0.0,1,Weather,14-May-18,1.8.4.5,4.1 and up,Weather,
Weather Live Pro,WEATHER,4.8,17493,11000000.0,100000,Paid,4.49,1,Weather,20-Apr-18,1.3,4.4 and up,Weather,
AEMET's time,WEATHER,3.8,15966,9200000.0,1000000,Free,0.0,1,Weather,17-Jul-17,2,2.3 and up,Weather,
New 2018 Weather App & Widget,WEATHER,4.5,2332,20000000.0,500000,Free,0.0,2,Weather,3-Aug-18,12.2.7.3671,4.1 and up,Weather,
Météociel,WEATHER,4.5,29344,22000000.0,500000,Free,0.0,1,Weather,25-Jul-18,4.1.11 - Hegoa,4.1 and up,Weather,
ForecaWeather,WEATHER,4.2,18425,5300000.0,1000000,Free,0.0,1,Weather,29-Jul-17,3.1.7,4.1 and up,Weather,
All Video Downloader 2018,VIDEO_PLAYERS,4.3,7557,5600000.0,1000000,Free,0.0,1,Video Players & Editors,25-Jul-18,1.0.1,4.4 and up,Video Players & Editors,
Video Downloader,VIDEO_PLAYERS,4.2,59089,5400000.0,10000000,Free,0.0,1,Video Players & Editors,3-Aug-18,1.0.8,4.4 and up,Video Players & Editors,
HD Video Player,VIDEO_PLAYERS,4.3,1551,2900000.0,1000000,Free,0.0,1,Video Players & Editors,25-Jul-18,1.1,4.1 and up,Video Players & Editors,
Iqiyi (for tablet),VIDEO_PLAYERS,3.6,12764,25000000.0,1000000,Free,0.0,2,Video Players & Editors,11-Jul-18,7.1,4.0 and up,Video Players & Editors,
Motorola Gallery,VIDEO_PLAYERS,3.9,121916,23000000.0,100000000,Free,0.0,1,Video Players & Editors,25-Jan-16,Varies with device,Varies with device,Video Players & Editors,
Free TV series,VIDEO_PLAYERS,3.7,400,7200000.0,100000,Free,0.0,2,Video Players & Editors,28-May-18,v1.0.3,4.0.3 and up,Video Players & Editors,
Video Player All Format for Android,VIDEO_PLAYERS,4.6,3930,3300000.0,500000,Free,0.0,1,Video Players & Editors,26-Jul-18,1.1.7,4.0.3 and up,Video Players & Editors,
Vote for,VIDEO_PLAYERS,4.2,193381,17000000.0,50000000,Free,0.0,2,Video Players & Editors,3-Aug-18,1.78,4.0.3 and up,Video Players & Editors,
XX HD Video downloader-Free Video Downloader,VIDEO_PLAYERS,4.1,7624,6000000.0,1000000,Free,0.0,1,Video Players & Editors,20-Apr-18,1.9,4.0.3 and up,Video Players & Editors,
OBJECTIVE,VIDEO_PLAYERS,3.8,19738,33000000.0,1000000,Free,0.0,2,Video Players & Editors,7-Aug-18,9.7.6,4.0 and up,Video Players & Editors,
Music - Mp3 Player,VIDEO_PLAYERS,4.4,259605,3100000.0,10000000,Free,0.0,1,Video Players & Editors,3-Aug-18,1.6.1,4.0.3 and up,Video Players & Editors,
HD Movie Video Player,VIDEO_PLAYERS,4.5,18699,4100000.0,1000000,Free,0.0,1,Video Players & Editors,27-Mar-18,1,4.0.3 and up,Video Players & Editors,
"YouCut - Video Editor & Video Maker, No Watermark",VIDEO_PLAYERS,4.6,98819,27000000.0,5000000,Free,0.0,1,Video Players & Editors,6-Aug-18,1.251.54,4.3 and up,Video Players & Editors,
"Video Editor,Crop Video,Movie Video,Music,Effects",VIDEO_PLAYERS,4.7,53006,44000000.0,1000000,Free,0.0,1,Video Players & Editors,3-Aug-18,1.5.1,4.4 and up,Video Players & Editors,
video player for android,VIDEO_PLAYERS,4.5,351168,13000000.0,10000000,Free,0.0,1,Video Players & Editors,18-Oct-16,2.0.0,2.3 and up,Video Players & Editors,
HTC Service － DLNA,VIDEO_PLAYERS,3.9,3484,3000000.0,10000000,Free,0.0,1,Video Players & Editors,3-Dec-15,7.10.621414,5.0 and up,Video Players & Editors,
Samsung Video Library,VIDEO_PLAYERS,4.4,25922,6100000.0,50000000,Free,0.0,1,Video Players & Editors,9-May-18,1.4.08.2,7.0 and up,Video Players & Editors,
OnePlus Gallery,VIDEO_PLAYERS,3.8,5555,64000000.0,1000000,Free,0.0,1,Video Players & Editors,12-Jul-18,2.6.71,7.1 and up,Video Players & Editors,
LIKE – Magic Video Maker & Community,VIDEO_PLAYERS,4.6,921868,47000000.0,50000000,Free,0.0,2,Video Players & Editors,4-Aug-18,2.4.11,4.0 and up,Video Players & Editors,
Play Tube,VIDEO_PLAYERS,4.3,15874,5400000.0,1000000,Free,0.0,1,Video Players & Editors,5-Jul-18,1.2,4.1 and up,Video Players & Editors,
Video.Guru - Video Maker,VIDEO_PLAYERS,4.6,36969,27000000.0,1000000,Free,0.0,1,Video Players & Editors,6-Aug-18,1.137.22,4.3 and up,Video Players & Editors,
"PowerDirector Video Editor App: 4K, Slow Mo & More",VIDEO_PLAYERS,4.5,714665,50000000.0,10000000,Free,0.0,1,Video Players & Editors,24-Jul-18,4.13.3,4.3 and up,Video Players & Editors,
Video Status,VIDEO_PLAYERS,4.3,6685,4000000.0,1000000,Free,0.0,1,Video Players & Editors,2-Aug-18,1.1.4,4.1 and up,Video Players & Editors,
Video Wallpaper Show,VIDEO_PLAYERS,0.0,0,13000000.0,500,Free,0.0,1,Video Players & Editors,26-Jul-18,3.1,4.0.3 and up,Video Players & Editors,
Tencent Video - Supporting the whole network,VIDEO_PLAYERS,3.5,13205,44000000.0,1000000,Free,0.0,2,Video Players & Editors,31-Jul-18,6.2.2.17136,3.0 and up,Video Players & Editors,
Casper Ssinema,VIDEO_PLAYERS,3.3,1261,2500000.0,10000,Free,0.0,1,Video Players & Editors,30-Oct-14,1,2.3 and up,Video Players & Editors,
amazer - Global Kpop Video Community,VIDEO_PLAYERS,4.3,1215,23000000.0,100000,Free,0.0,3,Video Players & Editors,20-Jul-18,1.5.4,4.1 and up,Video Players & Editors,
"Omlet Arcade - Stream, Meet, Play",VIDEO_PLAYERS,4.4,169965,14000000.0,10000000,Free,0.0,2,Video Players & Editors,2-Aug-18,1.32.1,4.3 and up,Video Players & Editors,
VUE: video editor & camcorder,VIDEO_PLAYERS,4.4,38630,89000000.0,1000000,Free,0.0,1,Video Players & Editors,5-Aug-18,2.1.6,4.4 and up,Video Players & Editors,
BaBe + - Indonesian News,NEWS_AND_MAGAZINES,4.3,42624,16000000.0,1000000,Free,0.0,3,News & Magazines,1-Aug-18,6.6.4,4.0 and up,News & Magazines,
